community,race_grouped,ADHD_false,ADHD_true
1,"American Indian, Native American, Alaska Native",14,3
1,Asian,36,1
1,Black/African American,99,8
1,Other Race,43,2
1,Pacific Islander,5,0
1,White,387,26
2,"American Indian, Native American, Alaska Native",14,0
2,Asian,49,4
2,Black/African American,50,1
2,Other Race,29,0
2,Pacific Islander,1,0
2,White,487,19
3,"American Indian, Native American, Alaska Native",9,1
3,Asian,10,1
3,Black/African American,77,5
3,Other Race,16,1
3,White,279,12
4,"American Indian, Native American, Alaska Native",15,2
4,Asian,20,1
4,Black/African American,100,17
4,Other Race,29,2
4,Pacific Islander,3,0
4,White,218,38
5,"American Indian, Native American, Alaska Native",5,0
5,Asian,23,0
5,Black/African American,24,4
5,Other Race,12,0
5,Pacific Islander,2,0
5,White,242,13
6,"American Indian, Native American, Alaska Native",9,0
6,Asian,12,1
6,Black/African American,53,5
6,Other Race,14,2
6,Pacific Islander,2,0
6,White,150,15
7,"American Indian, Native American, Alaska Native",7,0
7,Asian,8,1
7,Black/African American,25,5
7,Other Race,7,0
7,White,116,14
8,"American Indian, Native American, Alaska Native",3,0
8,Asian,1,0
8,Black/African American,8,1
8,Other Race,5,1
8,Pacific Islander,2,0
8,White,83,3
9,Asian,9,0
9,Black/African American,17,1
9,Other Race,6,0
9,White,65,5
